s_m,longitude,latitude,x_local_m,y_local_m,elevation_m,slope_deg,valley_width_m
6100.000000,85.612146,28.362146,22975.703855,9111.375689,4774.931322,8.650007,907.436946
6200.000000,85.611469,28.361469,22909.352344,9036.559401,4759.477470,8.874228,867.794163
6300.000000,85.610792,28.360792,22843.000832,8961.743113,4743.704319,9.068764,833.144795
6400.000000,85.610116,28.360116,22776.649321,8886.926825,4727.554481,9.258439,802.442697
6500.000000,85.609439,28.359439,22710.297810,8812.110537,4711.102012,9.318322,774.499187
6600.000000,85.608762,28.358762,22643.946299,8737.294249,4694.737551,9.158132,748.230299
6700.000000,85.608085,28.358085,22577.594787,8662.477961,4678.859045,8.802886,722.957968
6800.000000,85.607408,28.357408,22511.243276,8587.661673,4663.765601,8.359673,698.559867
6900.000000,85.606731,28.356731,22444.891765,8512.845385,4649.469438,7.973136,675.379320
7000.000000,85.606055,28.356055,22378.540254,8438.029097,4635.753054,7.631232,653.958932
7100.000000,85.605378,28.355378,22312.188742,8363.212809,4622.672773,7.200189,634.771185
7200.000000,85.604701,28.354701,22245.837231,8288.396521,4610.486508,6.605107,618.079378
7300.000000,85.604024,28.354024,22179.485720,8213.580233,4599.513916,5.839527,603.947217
7400.000000,85.603347,28.353347,22113.134209,8138.763945,4590.031839,4.908841,592.323638
7500.000000,85.602670,28.352670,22046.782697,8063.947657,4582.336778,3.857204,583.118853
7600.000000,85.601994,28.351994,21980.431186,7989.131369,4576.547280,2.939977,576.244458
7700.000000,85.601317,28.351317,21914.079675,7914.315081,4572.065307,2.342538,571.664219
7800.000000,85.600640,28.350640,21847.728164,7839.498793,4568.365719,1.951516,569.440037
7900.000000,85.599963,28.349963,21781.376652,7764.682505,4565.250597,1.628495,569.726178
8000.000000,85.599286,28.349286,21715.025141,7689.866217,4562.679668,1.464327,572.621185
8100.000000,85.598610,28.348610,21648.673630,7615.049929,4560.138019,1.643687,577.914358
8200.000000,85.597933,28.347933,21582.322119,7540.233641,4556.940545,2.103329,584.893690
8300.000000,85.597256,28.347256,21515.970607,7465.417353,4552.792715,2.603642,592.409458
8400.000000,85.596579,28.346579,21449.619096,7390.601065,4547.845857,2.920227,599.241881
8500.000000,85.595902,28.345902,21383.267585,7315.784777,4542.590362,3.031704,604.596295
8600.000000,85.595225,28.345225,21316.916073,7240.968489,4537.253326,3.179370,608.405506
8700.000000,85.594549,28.344549,21250.564562,7166.152201,4531.480861,3.490361,611.242163
8800.000000,85.593872,28.343872,21184.213051,7091.335913,4525.054576,3.913065,613.891123
8900.000000,85.593195,28.343195,21117.861540,7016.519625,4517.800411,4.411212,616.852524
9000.000000,85.592518,28.342518,21051.510028,6941.703337,4509.626046,4.917600,620.079867
9100.000000,85.591841,28.341841,20985.158517,6866.887049,4500.592474,5.403556,623.064863
9200.000000,85.591164,28.341164,20918.807006,6792.070761,4490.707955,5.905756,625.155236
9300.000000,85.590488,28.340488,20852.455495,6717.254473,4479.904177,6.419935,625.856875
9400.000000,85.589811,28.339811,20786.103983,6642.438185,4468.203895,6.892417,624.920146
9500.000000,85.589134,28.339134,20719.752472,6567.621897,4455.728374,7.227061,622.229048
9600.000000,85.588457,28.338457,20653.400961,6492.805609,4442.842047,7.416560,617.641062
9700.000000,85.587780,28.337780,20587.049450,6417.989321,4429.694127,7.505314,610.964572
9800.000000,85.587104,28.337104,20520.697938,6343.173033,4416.492675,7.439548,602.097271
9900.000000,85.586427,28.336427,20454.346427,6268.356745,4403.578272,7.268569,591.214804
10000.000000,85.585750,28.335750,20387.994916,6193.540457,4390.983591,6.996845,578.871805
10100.000000,85.585073,28.335073,20321.643405,6118.724169,4379.032537,6.574771,565.961653
10200.000000,85.584396,28.334396,20255.291893,6043.907881,4367.932040,6.083514,553.560022
10300.000000,85.583719,28.333719,20188.940382,5969.091592,4357.716905,5.615287,542.730654
10400.000000,85.583043,28.333043,20122.588871,5894.275304,4348.267993,5.191230,534.327070
10500.000000,85.582366,28.332366,20056.237360,5819.459016,4339.546344,4.808917,528.826474
10600.000000,85.581689,28.331689,19989.885848,5744.642728,4331.442179,4.542241,526.224417
10700.000000,85.581012,28.331012,19923.534337,5669.826440,4323.657631,4.343552,526.066484
10800.000000,85.580335,28.330335,19857.182826,5595.010152,4316.251211,3.919283,527.616503
10900.000000,85.579658,28.329658,19790.831315,5520.193864,4309.955376,3.352648,530.084632
11000.000000,85.578982,28.328982,19724.479803,5445.377576,4304.534888,2.912694,532.811310
11100.000000,85.578305,28.328305,19658.128292,5370.561288,4299.779389,2.589879,535.349040
11200.000000,85.577628,28.327628,19591.776781,5295.745000,4295.488344,2.371544,537.435768
11300.000000,85.576673,28.327500,19498.137929,5281.601200,4291.496408,2.234656,538.895671
11400.000000,85.575994,28.326827,19431.584790,5207.233225,4287.683964,2.218275,539.482626
11500.000000,85.575317,28.326150,19365.233279,5132.416937,4283.749298,2.296998,538.718155
11600.000000,85.574640,28.325474,19298.881767,5057.600649,4279.661629,2.511094,535.846018
11700.000000,85.573963,28.324797,19232.530256,4982.784361,4274.978310,2.729568,530.044320
11800.000000,85.573287,28.324120,19166.178745,4907.968073,4270.126426,2.772811,520.869892
11900.000000,85.572610,28.323443,19099.827234,4833.151785,4265.291809,2.801990,508.693929
12000.000000,85.571933,28.322766,19033.475722,4758.335497,4260.337831,3.068908,494.787146
12100.000000,85.571256,28.322089,18967.124211,4683.519209,4254.569042,3.539683,480.935575
